region,quarter,hpi,approvals,unemp_rate,emp_total,part_rate,emp_yoy_pct,cash_rate,income,wealth,q_dt,hpi_qoq,hpi_yoy,approvals_qoq,approvals_yoy,wealth_qoq,wealth_yoy,income_qoq,income_yoy
melbourne,2011Q2,175.3,13622.0,4.8596081,2810.29185143333,65.4783147666667,2.5960286269902,,1098.34,774.0,2011-06-30,-0.11396011396010985,1.3294797687861237,0.6650901566656708,-9.972903311083204,0.0,1.5748031496062964,0.0,2.0856956966260665
melbourne,2011Q3,172.3,13963.0,5.1398078,2814.15642123333,65.4832785666667,1.87980509076262,,1098.34,774.0,2011-09-30,-1.711351968054764,-3.0388294879009403,2.503303479665253,-20.871585628471045,0.0,1.5748031496062964,0.0,2.0856956966260665
melbourne,2011Q4,169.6,11178.0,5.27319776666667,2816.83690056667,65.3115702666667,0.802576813758127,4.375,1098.34,774.0,2011-12-31,-1.5670342426001294,-5.777777777777782,-19.945570436152693,-28.87503181471113,0.0,1.5748031496062964,0.0,2.0856956966260665
melbourne,2012Q1,165.8,10701.0,5.36384626666667,2826.45920193333,65.2304771,0.549106749618722,,1096.49,765.0,2012-03-31,-2.240566037735836,-5.527065527065522,-4.267310789049916,-20.920780372450487,-1.1627906976744207,-1.1627906976744207,-0.16843600342334453,-0.16843600342334453
melbourne,2012Q2,165.2,14643.0,5.48550736666667,2848.2282451,65.4725223333333,1.34990939276709,3.625,1096.49,765.0,2012-06-30,-0.361881785283491,-5.761551625784378,36.83767872161481,7.495228307150192,0.0,-1.1627906976744207,0.0,-0.16843600342334453
melbourne,2012Q3,165.5,14113.0,5.52392963333333,2850.94887846667,65.2453886333333,1.30740626056629,,1096.49,765.0,2012-09-30,0.1815980629539915,-3.946604759141037,-3.6194768831523616,1.0742677075127105,0.0,-1.1627906976744207,0.0,-0.16843600342334453
melbourne,2012Q4,166.7,12664.0,5.5765251,2845.707735,64.8310155,1.02493809377195,3.125,1096.49,765.0,2012-12-31,0.7250755287008914,-1.7099056603773644,-10.267129596825619,13.293970298801217,0.0,-1.1627906976744207,0.0,-0.16843600342334453
melbourne,2013Q1,167.0,10211.0,5.69292383333333,2855.3597003,64.7676976666667,1.02249833809376,,1097.32,794.0,2013-03-31,0.1799640071985742,0.7237635705669376,-19.369867340492732,-4.5790113073544525,3.790849673202623,3.790849673202623,0.07569608477959733,0.07569608477959733
melbourne,2013Q2,171.0,11909.0,5.74759996666667,2877.00624646667,64.943474,1.01038255681141,2.75,1097.32,794.0,2013-06-30,2.39520958083832,3.510895883777243,16.629125452942905,-18.671037355733112,0.0,3.790849673202623,0.0,0.07569608477959733
melbourne,2013Q3,174.2,13644.0,5.85517476666667,2887.45338643333,64.9252725666667,1.28043362132471,2.5,1097.32,794.0,2013-09-30,1.871345029239757,5.256797583081574,14.56881350239314,-3.3231772124991177,0.0,3.790849673202623,0.0,0.07569608477959733
melbourne,2013Q4,178.8,14069.0,6.1559481,2882.0134736,64.6828131333333,1.275807004123,,1097.32,794.0,2013-12-31,2.640642939150406,7.258548290341937,3.114922310172963,11.09444093493368,0.0,3.790849673202623,0.0,0.07569608477959733
melbourne,2014Q1,182.5,12564.0,6.3907782,2876.44426553333,64.3638675,0.73842063509959,,1099.2,858.0,2014-03-31,2.0693512304250428,9.281437125748493,-10.697277702750728,23.043776319655286,8.060453400503786,8.060453400503786,0.17132650457478693,0.17132650457478693
melbourne,2014Q2,184.9,14565.0,6.59453413333333,2888.62642583333,64.4425493333333,0.403898301609118,,1099.2,858.0,2014-06-30,1.315068493150684,8.12865497076023,15.926456542502399,22.302460324124617,0.0,8.060453400503786,0.0,0.17132650457478693
melbourne,2014Q3,186.8,15541.0,6.8232094,2910.68955003333,64.7782293666667,0.804728613427153,,1099.2,858.0,2014-09-30,1.0275824770145991,7.23306544202067,6.700995537246834,13.903547346819112,0.0,8.060453400503786,0.0,0.17132650457478693
melbourne,2014Q4,189.2,18225.0,6.68735196666667,2939.91219396667,64.9893936666667,2.00896771986094,,1099.2,858.0,2014-12-31,1.2847965738757905,5.816554809843377,17.27044591725113,29.54012367616745,0.0,8.060453400503786,0.0,0.17132650457478693
melbourne,2015Q1,190.3,16685.0,6.25960113333333,2973.85955693333,65.0678005333333,3.3866566638286,2.25,1098.48,941.0,2015-03-31,0.5813953488372103,4.27397260273974,-8.449931412894374,32.80006367398918,9.673659673659674,9.673659673659674,-0.06550218340611869,-0.06550218340611869
